City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
348,Kaoma,ZM,70.11,clear sky,-14.7833,24.8,KAOMA AIRPORT
349,Puerto Carreno,CO,72.86,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
353,Praia Da Vitoria,PT,71.85,broken clouds,38.7333,-27.0667,Hotel Branco I
356,Nemuro,JP,75.63,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
358,Houston,US,79.3,haze,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
364,Radom,PL,73.54,clear sky,51.4025,21.1471,Hotel Iskra - Radom
366,Auki,SB,78.82,overcast clouds,-8.7676,160.7034,Auki Motel
370,Obala,CM,73.27,overcast clouds,4.1667,11.5333,The yafe
375,Pathalgaon,IN,79.02,light rain,22.5667,83.4667,Queens Park Marriage Garden
376,Kondoa,TZ,72.46,scattered clouds,-4.9,35.7833,Kinyuma Lodge
381,Celestun,MX,77.38,few clouds,20.8667,-90.4,Posada Lilia
382,Vangaindrano,MG,71.92,light rain,-23.35,47.6,Hotel Fanilo
391,Trairi,BR,75.69,broken clouds,-3.2778,-39.2689,janelas do mar
394,Winnemucca,US,73.11,overcast clouds,40.973,-117.7357,Winners Inn Casino
399,Hami,CN,78.35,overcast clouds,42.8,93.45,Laoyutang Resort
405,Margate,GB,71.31,clear sky,51.3813,1.3862,Premier Inn Margate hotel
412,Bolkhov,RU,76.64,broken clouds,53.4433,36.0044,Bolkhovskaya Starina
417,Darhan,MN,75.65,overcast clouds,49.4867,105.9228,Buudai Hotel
421,Hovd,MN,78.93,clear sky,48.0056,91.6419,Hotel Khovd
423,Yulara,AU,76.84,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
434,Lasa,IT,71.02,clear sky,46.6166,10.7002,Pension Feldgärtenhof
436,Tibati,CM,72.0,light rain,6.4667,12.6333,Tibati Hotel
441,Conakry,GN,75.27,thunderstorm with light rain,9.538,-13.6773,Riviera Royal Hotel
442,Freeport,US,75.56,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
443,La Primavera,CO,70.11,few clouds,5.4906,-70.4092,La Riviera Hotel Colonial
446,Cleburne,US,75.25,clear sky,32.3476,-97.3867,"Holiday Inn Express & Suites Cleburne, an IHG Hotel"
447,Baturyn,UA,76.84,overcast clouds,51.3457,32.8779,Vitryla Myklukho-Maklaya
455,Biak,ID,79.75,overcast clouds,-0.9131,122.8766,Penginapan Kim
456,Strezhevoy,RU,71.58,few clouds,60.7333,77.5889,Sibiryachka
457,Pemba,MZ,77.7,scattered clouds,-12.974,40.5178,Guesthouse Samotina
466,Namatanai,PG,79.81,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
473,Boa Vista,BR,75.18,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
479,Coari,BR,72.73,broken clouds,-4.085,-63.1414,HOTEL ALEX FLAT
482,Westport,US,73.76,clear sky,41.1415,-73.3579,The Westport Inn
486,Puerto Ayacucho,VE,71.87,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
493,Skvyra,UA,73.58,overcast clouds,49.7318,29.6657,"ТОВ ""ГОТЕЛЬ"""
497,Sao Raimundo Nonato,BR,70.84,clear sky,-9.0153,-42.6994,Real Hotel
498,Gubkinskiy,RU,70.25,scattered clouds,64.434,76.5026,MonarcH
502,Vizinga,RU,72.73,overcast clouds,61.0749,50.1031,"Gostinitsa ""Nadezhda"""
507,Juruti,BR,74.05,clear sky,-2.1522,-56.0922,Hotel Acauã - ORLA
511,Marfino,RU,78.71,clear sky,55.7028,37.3822,Nemchinovka-Park
512,Mora,CM,76.59,scattered clouds,11.0461,14.1401,Hotel Emergence
518,Havelock,US,73.92,overcast clouds,34.8791,-76.9013,Sherwood Motel
519,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
521,Ventspils,LV,71.53,clear sky,57.3894,21.5606,Jūras brīze
522,Cuamba,MZ,79.75,clear sky,-14.8031,36.5372,Hotel Vision
524,Djougou,BJ,73.51,broken clouds,9.7085,1.666,Hotel cathas
525,Howell,US,70.95,clear sky,42.6073,-83.9294,Kensington Inn
539,Dumfries,US,73.76,clear sky,38.5676,-77.328,Hampton Inn Dumfries/Quantico
544,Carmaux,FR,78.94,clear sky,44.051,2.158,Café Hôtel Le Gambetta
550,Kondinskoye,RU,78.19,overcast clouds,59.6481,67.41,Gostinitsa
565,Madang,PG,79.54,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
566,Ust-Nera,RU,70.09,overcast clouds,64.5667,143.2,Hotel Ust-Nera
567,Gemena,CD,77.85,overcast clouds,3.25,19.7667,Hôtel Goshen
571,Moyale,KE,72.12,broken clouds,3.5167,39.0584,La Tahzan Guest House
573,Aras,ES,74.05,clear sky,42.5617,-2.356,Jardines de Viana Spa
574,Buala,SB,79.48,light rain,-8.145,159.5921,Maringe Lagoon Lodge
584,Saint Anthony,US,73.02,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
586,Agogo,GH,71.98,broken clouds,6.8,-1.0819,Tele Centre Hotel
