City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Smithers,CA,54.7804,-127.1743,55.72,94,90,5.75,light rain
284,Nanortalik,GL,60.1432,-45.2371,43.57,87,100,5.84,overcast clouds
285,Verkhoyansk,RU,67.5447,133.385,78.1,34,35,13.96,scattered clouds
286,Vanavara,RU,60.34,102.2797,74.41,52,97,7.58,overcast clouds
287,Severo-Yeniseyskiy,RU,60.3725,93.0408,65.77,48,83,6.53,broken clouds
288,Coruripe,BR,-10.1256,-36.1756,73.13,87,24,7.56,few clouds
289,Marawi,PH,7.9986,124.2928,82.04,57,63,4.07,broken clouds
290,Lyubinskiy,RU,55.1542,72.6925,78.48,40,55,5.19,broken clouds
291,Vanimo,PG,-2.6741,141.3028,80.42,79,96,5.77,overcast clouds
292,Iacu,BR,-12.7672,-40.2117,70.16,82,95,1.97,overcast clouds
293,Ust-Kan,RU,50.9276,84.761,76.6,40,92,4.85,overcast clouds
294,Plettenberg Bay,ZA,-34.0527,23.3716,54.57,91,100,8.88,moderate rain
295,Chai Nat,TH,15.1167,100.1,81.5,75,100,12.64,overcast clouds
296,Parsabad,IR,39.6482,47.9174,89.92,66,20,4.61,few clouds
297,Shirokiy,RU,49.758,129.523,86.0,70,24,4.88,few clouds
298,Amahai,ID,-3.3333,128.9167,79.61,87,79,7.07,broken clouds
299,San Cristobal,VE,7.7669,-72.225,62.62,97,67,4.83,broken clouds
300,Sterling,US,39.0062,-77.4286,72.79,91,1,0.0,clear sky
301,Abu Samrah,SY,35.3029,37.1841,95.59,20,0,11.52,clear sky
302,Clyde,US,41.3042,-82.9752,72.59,88,0,5.97,clear sky
303,Valparaiso,CL,-33.0393,-71.6273,49.48,72,0,4.61,clear sky
304,Saint-Pierre,RE,-21.3393,55.4781,76.68,56,0,29.93,clear sky
305,Samarinda,ID,-0.5,117.15,85.17,74,35,3.91,scattered clouds
306,Paka,MY,4.6374,103.4368,89.53,70,20,8.05,few clouds
307,Jinji,CN,23.2281,110.8261,84.33,76,100,8.43,moderate rain
308,Nelson Bay,AU,-32.7167,152.15,57.25,58,90,4.0,overcast clouds
309,Tabory,RU,58.5198,64.5495,82.67,34,82,3.44,broken clouds
310,Kuala Lipis,MY,4.1842,102.0468,92.79,43,74,4.03,broken clouds
311,Khatanga,RU,71.9667,102.5,56.52,76,100,2.86,light rain
312,High Level,CA,58.5169,-117.136,59.11,94,1,3.44,clear sky
313,Fulton,US,33.7668,-84.4499,72.61,93,90,0.0,mist
314,Luchegorsk,RU,46.4764,134.2569,91.92,49,22,2.57,few clouds
315,Labrea,BR,-7.2586,-64.7981,67.55,75,4,3.22,clear sky
316,Newport,GB,51.5877,-2.9984,78.55,73,0,0.67,clear sky
317,Fort Nelson,CA,58.8053,-122.7002,54.99,94,20,0.0,few clouds
318,Ulladulla,AU,-35.35,150.4667,56.3,62,100,9.73,overcast clouds
319,Torbat-E Jam,IR,35.244,60.6225,93.07,11,0,22.79,clear sky
320,Udachnyy,RU,66.4167,112.4,72.88,41,13,4.34,few clouds
321,Mapiripan,CO,2.8892,-72.1256,67.64,96,22,0.81,few clouds
322,Iqaluit,CA,63.7506,-68.5145,40.73,86,90,8.01,overcast clouds
323,Victoria,HK,22.2855,114.1577,79.95,96,100,1.01,moderate rain
324,Magdalena,PH,14.1999,121.429,83.41,96,100,9.48,overcast clouds
325,Lamu,KE,-2.2717,40.902,82.62,69,26,18.81,scattered clouds
326,Gushikawa,JP,26.3544,127.8686,80.6,89,1,27.63,shower rain
327,Povenets,RU,62.8487,34.8262,64.89,49,100,12.15,overcast clouds
328,Honiara,SB,-9.4333,159.95,78.8,84,100,3.78,overcast clouds
329,Rio Grande,BR,-32.035,-52.0986,36.95,86,0,9.28,clear sky
330,Azuaga,ES,38.2667,-5.6833,70.97,55,0,4.27,clear sky
331,Ishigaki,JP,24.3448,124.1572,86.13,79,40,13.8,scattered clouds
332,Hambantota,LK,6.1241,81.1185,93.54,55,20,14.97,few clouds
333,Rio Gallegos,AR,-51.6226,-69.2181,35.65,80,0,12.66,clear sky
334,Beringovskiy,RU,63.05,179.3167,46.27,95,100,11.16,overcast clouds
335,Birjand,IR,32.8663,59.2211,88.27,8,0,11.5,clear sky
336,Tasco,CO,5.9104,-72.78,47.19,98,45,3.85,scattered clouds
337,Saint-Lo,FR,49.1162,-1.0903,74.59,63,5,4.54,clear sky
338,Goreloye,RU,52.937,41.5043,85.21,51,21,7.52,few clouds
339,Markala,ML,13.7021,-6.0659,81.9,62,95,12.15,overcast clouds
340,Tutoia,BR,-2.7619,-42.2744,77.23,87,9,9.46,clear sky
341,Vestmannaeyjar,IS,63.4427,-20.2734,52.36,95,100,18.01,overcast clouds
342,Yaan,NG,7.3833,8.5667,76.23,87,70,6.78,light rain
343,San Carlos,VE,9.6612,-68.5827,70.52,98,95,0.2,overcast clouds
344,Karratha,AU,-20.7377,116.8463,79.59,41,47,10.2,scattered clouds
345,Broome,US,42.2506,-75.833,68.38,96,1,6.91,mist
346,North Bend,US,43.4065,-124.2243,58.91,90,90,5.75,overcast clouds
347,Ust-Maya,RU,60.4167,134.5333,88.48,39,23,5.59,few clouds
348,Kaoma,ZM,-14.7833,24.8,70.11,31,9,8.39,clear sky
349,Puerto Carreno,CO,6.189,-67.4859,72.86,94,100,2.28,overcast clouds
350,Magadan,RU,59.5667,150.8,59.14,74,48,6.55,scattered clouds
