City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Clyde River,CA,2021-07-17 21:10:15,70.4692,-68.5914,37.62,92,100,5.12
164,Talaya,RU,2021-07-17 21:15:40,61.3833,152.75,54.61,93,100,1.74
165,Lufilufi,WS,2021-07-17 21:15:41,-13.8745,-171.5986,83.79,79,34,24.74
166,Ossora,RU,2021-07-17 21:15:41,59.2353,163.0719,52.45,91,100,9.42
167,Rudnogorsk,RU,2021-07-17 21:15:41,57.2639,103.7519,56.48,98,100,5.75
168,Turukhansk,RU,2021-07-17 21:15:42,65.8167,87.9833,52.97,94,92,2.75
169,Chebsara,RU,2021-07-17 21:15:42,59.2002,38.8356,59.63,56,0,5.66
170,Quatre Cocos,MU,2021-07-17 21:15:42,-20.2078,57.7625,72.09,75,28,15.39
171,Hithadhoo,MV,2021-07-17 21:09:31,-0.6,73.0833,82.15,73,15,3.89
172,Puerto Ayora,EC,2021-07-17 21:09:29,-0.7393,-90.3518,78.76,91,94,5.99
173,Mamontovo,RU,2021-07-17 21:15:43,52.7055,81.6244,59.79,66,80,8.05
174,Torbay,CA,2021-07-17 21:15:43,47.6666,-52.7314,68.88,89,100,18.01
175,Pevek,RU,2021-07-17 21:10:13,69.7008,170.3133,45.88,83,97,14.29
176,Port Hawkesbury,CA,2021-07-17 21:15:44,45.6169,-61.3485,80.1,51,74,4.0
177,Broome,US,2021-07-17 21:15:44,42.2506,-75.833,83.55,79,75,8.05
178,Uyuni,BO,2021-07-17 21:15:45,-20.4597,-66.825,47.7,15,66,7.58
179,Mahebourg,MU,2021-07-17 21:09:23,-20.4081,57.7,72.25,75,37,16.02
180,Naze,JP,2021-07-17 21:12:38,28.3667,129.4833,78.48,85,100,14.54
181,Tuatapere,NZ,2021-07-17 21:15:45,-46.1333,167.6833,43.83,94,100,3.36
182,Glendive,US,2021-07-17 21:15:46,47.1053,-104.7125,99.48,19,1,12.66
183,Buala,SB,2021-07-17 21:15:46,-8.145,159.5921,81.79,83,100,7.43
184,Hilo,US,2021-07-17 21:09:25,19.7297,-155.09,89.28,81,90,12.66
185,Mount Isa,AU,2021-07-17 21:15:46,-20.7333,139.5,44.37,65,7,1.14
186,Nanae,JP,2021-07-17 21:15:47,41.8833,140.6833,73.02,91,16,4.68
187,Santo Augusto,BR,2021-07-17 21:15:47,-27.8508,-53.7772,51.51,79,13,6.98
188,Ust-Tsilma,RU,2021-07-17 21:15:47,65.441,52.1498,50.61,85,12,3.29
189,Atar,MR,2021-07-17 21:15:48,20.5169,-13.0499,94.96,22,7,5.99
190,Phuket,TH,2021-07-17 21:15:48,8.0,98.25,87.1,100,20,1.14
191,Poya,NC,2021-07-17 21:15:49,-21.35,165.15,72.68,63,1,2.91
192,Fremont,US,2021-07-17 21:12:33,37.5483,-121.9886,97.66,44,1,1.99
193,Vardo,NO,2021-07-17 21:15:49,70.3705,31.1107,51.67,86,90,6.6
194,Eston,CA,2021-07-17 21:15:49,51.1501,-108.7514,92.91,18,40,10.38
195,Jerome,US,2021-07-17 21:15:50,42.7241,-114.5186,90.88,25,1,3.44
196,Luganville,VU,2021-07-17 21:15:50,-15.5333,167.1667,80.96,76,26,4.09
197,Lagoa,PT,2021-07-17 21:15:50,39.05,-27.9833,67.39,72,8,13.47
198,San Cristobal,VE,2021-07-17 21:09:58,7.7669,-72.225,82.58,59,31,5.86
199,Bethel,US,2021-07-17 21:09:17,41.3712,-73.414,84.69,93,77,3.38
200,Galdar,ES,2021-07-17 21:15:51,28.147,-15.6502,70.3,72,29,10.98
201,Nanortalik,GL,2021-07-17 21:10:02,60.1432,-45.2371,52.66,73,98,17.56
202,Saraland,US,2021-07-17 21:15:52,30.8207,-88.0706,86.22,61,90,5.32
203,Santa Isabel Do Rio Negro,BR,2021-07-17 21:15:52,-0.4139,-65.0192,81.36,77,99,2.55
204,San Patricio,US,2021-07-17 21:10:34,28.017,-97.5169,93.92,51,11,14.43
205,Guaruja,BR,2021-07-17 21:15:52,-23.9931,-46.2564,81.16,26,58,4.32
206,Tateyama,JP,2021-07-17 21:15:53,34.9833,139.8667,80.02,88,18,5.28
207,Zaragoza,ES,2021-07-17 21:11:46,41.6561,-0.8773,81.05,41,0,8.99
208,Vila Velha,BR,2021-07-17 21:10:24,-20.3297,-40.2925,75.15,78,0,13.8
209,Kudahuvadhoo,MV,2021-07-17 21:15:54,2.6708,72.8944,82.71,76,77,10.38
210,Ko Samui,TH,2021-07-17 21:15:54,9.5357,99.9357,82.9,76,34,13.4
211,Constitucion,CL,2021-07-17 21:11:42,-35.3333,-72.4167,53.42,52,0,10.36
212,Aklavik,CA,2021-07-17 21:09:27,68.2191,-135.0107,81.3,32,47,8.39
213,Castro,BR,2021-07-17 21:09:48,-24.7911,-50.0119,55.76,96,27,5.41
214,Ingham,US,2021-07-17 21:15:55,42.6,-84.3833,80.42,63,90,10.36
215,Brookhaven,US,2021-07-17 21:12:50,31.5791,-90.4407,84.79,70,100,4.25
216,Adrar,MR,2021-07-17 21:10:09,20.5022,-10.0711,98.11,18,49,3.06
217,San Quintin,MX,2021-07-17 21:11:27,30.4833,-115.95,72.82,71,99,11.12
218,Jinchang,CN,2021-07-17 21:15:55,38.4953,102.1739,76.93,29,65,4.23
219,Chicama,PE,2021-07-17 21:15:56,-7.8447,-79.1469,66.74,67,10,10.65
220,Furukawa,JP,2021-07-17 21:15:56,38.5717,140.9556,73.15,85,99,1.5
221,Sur,OM,2021-07-17 21:09:45,22.5667,59.5289,84.2,72,4,19.35
222,Sibanicu,CU,2021-07-17 21:15:56,21.235,-77.5264,81.05,67,83,12.75
223,Ambilobe,MG,2021-07-17 21:15:57,-13.2,49.05,66.72,77,68,3.62
224,Tacuarembo,UY,2021-07-17 21:15:57,-31.7333,-55.9833,46.72,58,1,8.72
225,Port Lincoln,AU,2021-07-17 21:09:28,-34.7333,135.8667,52.86,72,100,4.99
226,Sorland,NO,2021-07-17 21:10:39,67.667,12.6934,53.02,84,93,13.56
227,Le Vauclin,MQ,2021-07-17 21:15:58,14.5452,-60.8388,86.05,74,75,14.97
228,Yar-Sale,RU,2021-07-17 21:09:36,66.8333,70.8333,41.04,83,36,7.0
229,Hasaki,JP,2021-07-17 21:15:58,35.7333,140.8333,73.8,91,49,5.93
230,Belmonte,BR,2021-07-17 21:15:58,-15.8631,-38.8828,73.9,76,1,7.07
231,Rawson,AR,2021-07-17 21:15:59,-43.3002,-65.1023,45.05,64,97,21.16
232,Tilichiki,RU,2021-07-17 21:15:59,60.4667,166.1,50.76,89,100,4.61
233,Maniitsoq,GL,2021-07-17 21:16:00,65.4167,-52.9,46.53,92,83,7.18
234,Victoria,HK,2021-07-17 21:05:48,22.2855,114.1577,84.18,90,100,1.99
235,Port-Gentil,GA,2021-07-17 21:16:00,-0.7193,8.7815,75.47,75,73,10.33
236,Roros,NO,2021-07-17 21:16:00,62.5747,11.3842,57.04,58,90,11.5
237,Meadow Lake,US,2021-07-17 21:16:01,34.8014,-106.5436,94.3,24,38,6.13
238,Bismarck,US,2021-07-17 21:16:01,46.8083,-100.7837,96.64,37,1,5.01
239,Saint-Philippe,RE,2021-07-17 21:09:46,-21.3585,55.7679,69.39,77,40,11.41
240,Vrangel,RU,2021-07-17 21:16:01,42.7297,133.0839,70.18,93,0,4.36
241,Hobyo,SO,2021-07-17 21:10:00,5.3505,48.5268,76.6,79,60,29.53
242,Kanchanaburi,TH,2021-07-17 21:16:02,14.6333,99.1,74.59,94,98,4.68
243,Ullapool,GB,2021-07-17 21:16:02,57.8987,-5.1604,62.76,88,82,11.25
244,Nueva Loja,EC,2021-07-17 21:16:03,0.0847,-76.8828,72.88,84,42,2.66
245,Diego De Almagro,CL,2021-07-17 21:11:28,-26.3667,-70.05,73.94,14,100,5.53
246,Kota Kinabalu,MY,2021-07-17 21:16:03,5.9749,116.0724,76.98,83,20,3.44
247,Wencheng,CN,2021-07-17 21:16:03,33.0559,113.7978,75.02,93,81,3.91
248,Huarmey,PE,2021-07-17 21:10:16,-10.0681,-78.1522,68.49,73,14,11.12
249,Brenes,ES,2021-07-17 21:16:04,37.5494,-5.8714,82.92,36,0,13.8
250,Tshikapa,CD,2021-07-17 21:16:04,-6.4167,20.8,75.61,29,80,3.47
251,Calayaan,PH,2021-07-17 21:16:05,15.5662,120.5158,75.88,95,100,1.52
252,Keti Bandar,PK,2021-07-17 21:16:05,24.1447,67.4497,84.02,83,98,19.19
253,Axim,GH,2021-07-17 21:16:05,4.8699,-2.2405,76.21,81,62,5.99
254,Burns Lake,CA,2021-07-17 21:16:06,54.2331,-125.7533,62.02,79,93,2.95
255,Komsomolskiy,UZ,2021-07-17 21:16:06,40.4272,71.7189,72.82,52,96,0.16
256,Saint-Pierre,RE,2021-07-17 21:16:06,-21.3393,55.4781,67.68,68,0,17.27
257,Mehamn,NO,2021-07-17 21:10:37,71.0357,27.8492,49.87,86,80,18.57
